Android,611
SC3068N,1
ONE_XC,2
Nexus_S_-_4.1.1_-_with_Google_Apps_-_API_16_-_480x800,1
AN9G2,4
EHV-E210S,1
E9005,8
X7_TW_32G,1
E9003,13
E9002,31
X8818,7
M10,11
Rise,1
GiONEE_GN180,1
XD-708F,2
O2,2
SCH-I545,128
L2312_10?,1
S308,18
TR101,29
S306,14
GalasyS4,5
S300,30
I9600,1
lPHONE_5,2
TP10.1-1500DC_kb,1
T5516,8
	GALAXY_Tab_T100,26
dtab01,6
ALCATEL_ONE_TOUCH_993D,4
AVA747,1
	GALAXY_Tab_T108,4
T5519,10
J99,3
HTC_EVO_4G++,13
ZTE_V956,287
APD-B705CC,1
N101_DUAL_CORE2_V11,68
K7206,1
MT7A,1
QRD8X30,1
ZHODA-M903,3
ZHODA-M902,1
WP-G6,2
ASK_SP551+_HD,3
IM-A760S/770K,14
WP-G3,5
lephone_A66,1
iStone_TD589,2
GPLUS-Z500,6
Haier-N88W,5
U9500E,12
GT-i900,1
AN7HG3,1
D2005,1
HILIVE_HI9,2
THL_W11,1
ITAB,1
4G_W4,33
Victorys_V8,14
e1908_v77_mt6628_hjy1a6x_9p017,6
XYZ_x1,1
Next7S,15
Plum-F1,4
X718,2
OBEE_V9,1
OBEE_V8,19
U985,2
TD1,11
PRADA_3.0,1
PTBL9C,1
A366T,2
Android_Edition_Starnaute,1
ET_A16,3
SAGA_A803,2
ZTE_u956,4
GT-S7500T,1
SAGA_A806,23
SAGA_A809,5
v89_jdt1qhd,5
gemei_G9,3
HUAWEI_G700-UOO,1
FLYPhone_s4++,3
V8110,2
YW9300,10
Tensent_S8000,10
GT-i9100G,2
SHL21,8
SHL22,2
EB-A71GJ,7
SKY_IM-A650S,34
I9000A,1
HTC_ChaCha_A810e,86
Poseidon,19
P406,9
MI_3,7967
MI_2,16990
9500,6
Uniscope_XC2,7
Coolpad_7005,15
AUX_M959,1
ASK_SP516+_IPS,2
ATET_W900,19
CTLITE,1
LG-E975T,1
DC102,1
Doeasy_E920i,4
TKC_I5D,1
SoftwinerEvb,287
vivo_S7i(t),659
Streak_10_Pro,4
GOBO_i8,4
ZTE_U988S,156
e1911_v77_gq2000_9p017_6628,3
J-Q8B,1
